Restaurant,Menu Item,Calories,Protein,Carbohydrates,Fat
McDonald's,Hamburger,250.0,12.0,31.0,9.0
McDonald's,Cheeseburger,300.0,15.0,33.0,12.0
McDonald's,Double Cheeseburger,440.0,25.0,34.0,23.0
McDonald's,McDouble,390.0,22.0,33.0,19.0
McDonald's,Quarter Pounder with Cheese,510.0,29.0,40.0,26.0
McDonald's,Double Quarter Pounder with Cheese,740.0,48.0,40.0,42.0
McDonald's,Big Mac,540.0,25.0,45.0,29.0
McDonald's,Big N' Tasty,460.0,24.0,37.0,24.0
McDonald's,Big N' Tasty with Cheese,510.0,27.0,38.0,28.0
McDonald's,Angus Bacon & Cheese,790.0,45.0,63.0,39.0
McDonald's,Angus Deluxe,750.0,40.0,61.0,39.0
McDonald's,Angus Mushroom & Swiss,770.0,44.0,59.0,40.0
McDonald's,Filet-O-Fish,380.0,15.0,38.0,18.0
McDonald's,McChicken,360.0,14.0,40.0,16.0
McDonald's,McRib,500.0,22.0,44.0,26.0
McDonald's,Premium Grilled Chicken Classic Sandwich,360.0,27.0,41.0,9.0
McDonald's,Premium Crispy Chicken Classic Sandwich,510.0,24.0,56.0,22.0
McDonald's,Premium Grilled Chicken Club Sandwich,460.0,35.0,43.0,17.0
McDonald's,Premium Crispy Chicken Club Sandwich,620.0,31.0,57.0,29.0
McDonald's,Premium Grilled Chicken Ranch BLT Sandwich,380.0,31.0,41.0,10.0
McDonald's,Premium Crispy Chicken Ranch BLT Sandwich,540.0,27.0,56.0,23.0
McDonald's,Southern Style Crispy Chicken Sandwich,400.0,24.0,39.0,17.0
McDonald's,Ranch Snack Wrap (Crispy),340.0,14.0,33.0,17.0
McDonald's,Ranch Snack Wrap (Grilled),270.0,18.0,26.0,10.0
McDonald's,Honey Mustard Snack Wrap (Crispy),330.0,14.0,34.0,16.0
McDonald's,Honey Mustard Snack Wrap (Grilled),260.0,18.0,27.0,9.0
McDonald's,Chipotle BBQ Snack Wrap (Crispy),330.0,14.0,35.0,15.0
McDonald's,Chipotle BBQ Snack Wrap (Grilled),260.0,18.0,28.0,9.0
McDonald's,Angus Bacon & Cheese Snack Wrap,390.0,21.0,28.0,21.0
McDonald's,Angus Chipotle BBQ Bacon,800.0,45.0,66.0,39.0
McDonald's,Angus Chipotle BBQ Bacon Snack Wrap,400.0,21.0,30.0,22.0
